order_item_id,order_id,product_id,quantity,unit_price,discount,line_total
OI000000094,O002925,P000646,10,1100.42,318.72,10685.480000000001
OI000000095,O002858,P000574,9,1508.02,382.31,13189.87
OI000000096,O002170,P000711,9,1217.93,225.16,10736.210000000001
OI000000097,O002835,P000667,6,301.01,62.27,1743.79
OI000000098,O002122,P000956,8,24.75,4.05,193.95
OI000000099,O002182,P000855,2,1185.68,186.88,2184.48
OI000000100,O002456,P000902,8,493.12,50.67,3894.29
OI000000101,O001526,P000865,8,678.15,19.22,5405.98
OI000000102,O000958,P000681,7,270.62,47.42,1846.92
OI000000103,O002895,P000660,7,722.67,97.45,4961.24
OI000000104,O001309,P000486,10,1162.43,266.47,11357.830000000002
OI000000105,O002441,P000582,1,982.67,228.22,754.4499999999999
OI000000106,O001125,P000131,9,29.85,1.27,267.38000000000005
OI000000107,O002285,P000739,10,172.97,12.33,1717.3700000000001
OI000000108,O002623,P000782,5,188.19,34.95,906.0
OI000000109,O001877,P000308,9,1925.87,433.35,16899.48
OI000000110,O000948,P000606,8,365.97,95.09,2832.67
OI000000111,O000812,P000656,9,1844.7,245.08,16357.22
OI000000112,O001022,P000452,1,117.57,27.17,90.39999999999999
OI000000113,O001463,P000006,8,1376.48,307.01,10704.83
OI000000114,O002253,P000817,8,586.32,97.46,4593.1
OI000000115,O002656,P000958,10,1533.89,186.52,15152.380000000001
OI000000116,O001837,P000102,9,44.65,5.64,396.21
OI000000117,O002020,P000941,8,1195.18,102.7,9458.74
OI000000118,O001591,P000655,10,107.05,1.96,1068.54
OI000000119,O002358,P000601,9,1881.3,143.23,16788.47
OI000000120,O000424,P000138,3,742.8,148.97,2079.43
OI000000121,O001093,P000525,8,1189.62,3.34,9513.619999999999
OI000000122,O001150,P000652,1,1405.91,51.91,1354.0
OI000000123,O001129,P000524,2,705.15,134.25,1276.05
OI000000124,O002698,P000139,5,1764.18,244.77,8576.13
OI000000125,O001542,P000006,9,1376.48,204.95,12183.369999999999
OI000000126,O000291,P000599,3,308.14,52.4,872.02
OI000000127,O001406,P000154,9,378.8,12.87,3396.3300000000004
OI000000128,O002437,P000341,9,15.39,2.66,135.85
OI000000129,O001392,P000526,5,461.38,48.51,2258.39
OI000000130,O002031,P000607,2,1009.71,98.53,1920.89
OI000000131,O001055,P000687,7,1421.54,371.48,9579.3
OI000000132,O000343,P000211,7,524.47,99.04,3572.25
OI000000133,O002853,P000622,4,371.41,86.08,1399.5600000000002
OI000000134,O002410,P000512,6,1305.82,339.07,7495.85
OI000000135,O000137,P000312,6,766.77,196.21,4404.41
OI000000136,O001504,P000356,4,254.34,57.67,959.69
OI000000137,O000445,P000018,5,9.09,1.95,43.5
OI000000138,O001227,P000863,5,1876.0,462.01,8917.99
OI000000139,O000070,P000236,4,631.33,135.08,2390.2400000000002
OI000000140,O001869,P000530,3,130.64,3.28,388.64
OI000000141,O000937,P000363,2,284.75,55.86,513.64
OI000000142,O000890,P000316,9,203.79,58.64,1775.4699999999998
OI000000143,O002040,P000605,5,1505.93,128.42,7401.2300000000005
OI000000144,O000229,P000743,9,1834.29,273.62,16234.99
OI000000145,O002151,P000997,10,1002.0,250.62,9769.38
OI000000146,O000701,P000866,9,920.6,251.31,8034.089999999999
OI000000147,O001849,P000526,9,461.38,134.12,4018.3
OI000000148,O000546,P000560,3,120.18,0.65,359.89000000000004
OI000000149,O000129,P000103,1,35.47,6.68,28.79
OI000000150,O001249,P000842,9,191.61,5.3,1719.1900000000003
OI000000151,O002696,P000689,10,677.0,82.48,6687.52
OI000000152,O001545,P000566,10,1883.35,197.69,18635.81
OI000000153,O000527,P000370,8,1910.96,340.39,14947.29
OI000000154,O000737,P000679,1,1280.62,280.36,1000.2599999999999
OI000000155,O002484,P000411,3,798.36,238.93,2156.15
OI000000156,O002367,P000057,10,965.3,89.4,9563.6
OI000000157,O001412,P000104,9,373.15,84.96,3273.39
OI000000158,O001090,P000117,2,278.66,16.24,541.08
OI000000159,O000521,P000726,8,928.18,241.75,7183.69
OI000000160,O001839,P000737,2,482.37,143.22,821.52
OI000000161,O002395,P000270,1,380.64,34.55,346.09
OI000000162,O002080,P000094,1,477.6,21.36,456.24
OI000000163,O000240,P000966,9,951.42,245.23,8317.55
OI000000164,O002320,P000139,5,1764.18,397.92,8422.98
OI000000165,O002778,P000851,8,213.39,50.94,1656.1799999999998
OI000000166,O000479,P000542,5,1424.41,47.25,7074.8
OI000000167,O000501,P000914,6,1300.83,125.18,7679.799999999999
OI000000168,O000929,P000860,2,729.47,67.54,1391.4
OI000000169,O002602,P000219,6,982.72,200.2,5696.12
OI000000170,O002479,P000377,4,561.23,130.39,2114.53
OI000000171,O001547,P000074,3,254.86,46.15,718.4300000000001
OI000000172,O002117,P000037,2,1590.88,322.37,2859.3900000000003
OI000000173,O000047,P000864,10,723.69,68.02,7168.88
OI000000174,O001551,P000383,3,915.96,93.45,2654.4300000000003
OI000000175,O000930,P000227,2,544.88,48.33,1041.43
OI000000176,O002736,P000526,8,461.38,70.18,3620.86
OI000000177,O000266,P000699,5,197.26,38.62,947.68
OI000000178,O000741,P000766,8,229.31,40.96,1793.52
OI000000179,O000304,P000017,9,449.39,98.73,3945.7799999999997
OI000000180,O001343,P000818,1,82.46,9.82,72.63999999999999
OI000000181,O002073,P000545,3,707.48,191.32,1931.1200000000001
OI000000182,O001466,P000484,10,768.71,207.0,7480.1
OI000000183,O001130,P000851,3,213.39,13.01,627.16
OI000000184,O000516,P000555,5,51.72,1.05,257.55
OI000000185,O002015,P000660,8,722.67,21.34,5760.0199999999995
OI000000186,O000626,P000367,5,256.53,73.89,1208.7599999999998
OI000000187,O001394,P000126,3,602.62,135.71,1672.15
OI000000188,O001900,P000791,9,210.89,59.3,1838.7099999999998
OI000000189,O002786,P000974,7,89.43,4.0,622.01
OI000000190,O000001,P000083,1,80.73,4.83,75.9
OI000000191,O000716,P000811,9,106.61,24.7,934.79
OI000000192,O001192,P000477,7,192.02,40.83,1303.3100000000002
OI000000193,O000333,P000778,7,759.17,219.33,5094.86
OI000000194,O000881,P000158,2,1994.69,313.38,3676.0
OI000000195,O000699,P000790,4,360.44,67.03,1374.73
OI000000196,O002311,P000098,8,1762.8,335.71,13766.69
OI000000197,O002668,P000827,3,326.87,89.6,891.01
OI000000198,O001330,P000934,3,509.97,13.42,1516.49
OI000000199,O000275,P000607,9,1009.71,159.5,8927.89
OI000000200,O002762,P000034,10,1185.61,349.3,11506.8
OI000000201,O000017,P000956,7,24.75,4.03,169.22
OI000000202,O002522,P000315,6,305.52,40.98,1792.1399999999999
OI000000203,O000462,P000168,2,139.17,27.09,251.24999999999997
OI000000204,O000581,P000561,3,867.09,161.15,2440.12
OI000000205,O000277,P000935,7,1094.05,323.29,7335.0599999999995
OI000000206,O002765,P000349,3,245.34,69.88,666.14
OI000000207,O002243,P000968,5,506.73,77.08,2456.57
OI000000208,O001766,P000889,5,889.74,67.76,4380.94
OI000000209,O002216,P000545,5,707.48,84.06,3453.34
OI000000210,O000352,P000941,5,1195.18,314.25,5661.650000000001
OI000000211,O000703,P000811,10,106.61,15.4,1050.6999999999998
OI000000212,O000364,P000789,2,5.28,1.19,9.370000000000001
OI000000213,O000633,P000263,1,222.37,39.38,182.99
OI000000214,O001350,P000173,5,1705.15,114.28,8411.47
OI000000215,O000505,P000035,9,611.08,20.51,5479.21
OI000000216,O001427,P000883,5,1104.69,93.47,5429.9800000000005
OI000000217,O000148,P000754,8,998.49,251.36,7736.56
OI000000218,O002939,P000092,4,547.84,138.8,2052.56
OI000000219,O001402,P000419,5,480.64,49.55,2353.6499999999996
OI000000220,O000558,P000258,10,907.59,179.51,8896.39
OI000000221,O002787,P000460,4,1891.62,566.41,7000.07
OI000000222,O000446,P000171,3,1191.32,305.56,3268.4
OI000000223,O002426,P000708,5,163.15,1.25,814.5
OI000000224,O002096,P000080,8,1094.09,242.54,8510.179999999998
OI000000225,O001133,P000783,2,1511.59,116.18,2907.0
OI000000226,O001713,P000496,7,1057.48,45.57,7356.790000000001
OI000000227,O001453,P000455,5,432.41,58.08,2103.9700000000003
OI000000228,O000416,P000883,4,1104.69,153.39,4265.37
OI000000229,O002293,P000923,6,286.61,16.07,1703.5900000000001
OI000000230,O000899,P000829,5,34.71,9.04,164.51000000000002
OI000000231,O001487,P000694,6,461.63,104.49,2665.29
OI000000232,O000685,P000569,9,65.61,8.59,581.9
OI000000233,O000761,P000170,10,808.52,116.28,7968.92
OI000000234,O001521,P000395,6,288.86,31.77,1701.39
OI000000235,O002910,P000901,6,49.1,10.15,284.45000000000005
OI000000236,O000606,P000836,2,1875.69,5.76,3745.62
OI000000237,O000950,P000842,1,191.61,30.52,161.09
OI000000238,O002183,P000311,6,1032.71,245.45,5950.81
OI000000239,O002358,P000072,7,809.43,5.04,5660.969999999999
OI000000240,O001490,P000481,8,1447.12,152.48,11424.48
OI000000241,O002712,P000815,1,15.61,0.44,15.17
OI000000242,O000230,P000453,10,167.58,9.2,1666.6000000000001
OI000000243,O001286,P000384,3,930.26,96.12,2694.66
OI000000244,O001482,P000129,8,1756.87,195.15,13859.81
OI000000245,O002633,P000113,4,1736.82,230.63,6716.65
OI000000246,O001775,P000582,5,982.67,199.61,4713.74
OI000000247,O000685,P000992,9,135.46,15.3,1203.8400000000001
OI000000248,O001526,P000870,4,1323.98,301.42,4994.5
OI000000249,O002110,P000413,10,999.73,175.23,9822.07
OI000000250,O000676,P000149,5,21.16,2.67,103.13
OI000000251,O000826,P000714,7,44.9,8.01,306.29
OI000000252,O002816,P000929,9,644.09,160.63,5636.18
OI000000253,O001344,P000385,1,1874.09,378.47,1495.62
OI000000254,O000649,P000447,10,601.01,15.23,5994.870000000001
OI000000255,O002007,P000907,3,1911.53,53.73,5680.860000000001
OI000000256,O000607,P000551,7,151.2,10.57,1047.83
OI000000257,O002573,P000685,8,1730.91,403.01,13444.27
OI000000258,O001278,P000379,2,243.16,58.38,427.94
OI000000259,O002545,P000564,10,1904.75,337.92,18709.58
OI000000260,O000952,P000719,9,1827.14,81.26,16363.000000000002
OI000000261,O000891,P000034,8,1185.61,243.67,9241.21
OI000000262,O002342,P000004,8,971.97,258.91,7516.85
OI000000263,O002906,P000514,5,919.74,254.57,4344.13
OI000000264,O000325,P000906,7,661.16,189.01,4439.11
OI000000265,O002473,P000985,4,749.97,100.84,2899.04
OI000000266,O002464,P000390,6,758.72,20.29,4532.03
OI000000267,O001972,P000121,7,1866.2,514.32,12549.08
OI000000268,O001826,P000385,3,1874.09,331.35,5290.919999999999
OI000000269,O001289,P000384,9,930.26,87.92,8284.42
OI000000270,O002456,P000473,7,1794.25,328.04,12231.71
OI000000271,O001881,P000162,5,140.8,37.27,666.73
OI000000272,O000431,P000482,6,720.13,118.08,4202.7
OI000000273,O001877,P000216,7,1516.37,337.79,10276.8
OI000000274,O001352,P000242,3,97.78,23.17,270.17
OI000000275,O001481,P000412,2,1511.32,26.54,2996.1
OI000000276,O002695,P000734,9,155.02,41.33,1353.8500000000001
OI000000277,O001920,P000494,10,1011.4,98.39,10015.61
OI000000278,O002658,P000120,8,18.57,0.91,147.65
OI000000279,O000578,P000308,8,1925.87,67.81,15339.15
OI000000280,O000941,P000251,5,253.9,53.3,1216.2
OI000000281,O000688,P000885,3,1724.8,94.34,5080.0599999999995
OI000000282,O002360,P000827,6,326.87,20.73,1940.49
OI000000283,O001488,P000158,1,1994.69,222.49,1772.2
OI000000284,O002068,P000132,5,1097.12,222.89,5262.709999999999
OI000000285,O001249,P000312,5,766.77,16.68,3817.17
OI000000286,O001182,P000205,3,1027.59,134.39,2948.3799999999997
OI000000287,O001060,P000916,3,382.73,65.42,1082.77
OI000000288,O002231,P000316,5,203.79,9.54,1009.41
OI000000289,O000099,P000419,8,480.64,110.52,3734.6
OI000000290,O001414,P000769,9,761.24,24.09,6827.07
OI000000291,O001465,P000688,1,1532.29,342.02,1190.27
OI000000292,O001050,P000280,7,896.18,59.06,6214.199999999999
OI000000293,O000879,P000184,7,127.09,1.59,888.04
OI000000294,O001115,P000528,3,1159.69,331.85,3147.2200000000003
OI000000295,O000152,P000152,6,68.04,7.15,401.09000000000003
OI000000296,O002728,P000106,1,654.84,168.92,485.9200000000001
OI000000297,O000074,P000074,7,254.86,2.76,1781.26
OI000000298,O001347,P000910,1,360.6,105.8,254.8
OI000000299,O002351,P000629,1,1677.51,321.14,1356.37
OI000000300,O000671,P000767,2,1966.38,225.78,3706.98
OI000000301,O000347,P000201,8,1143.59,18.02,9130.699999999999
OI000000302,O001835,P000836,9,1875.69,558.99,16322.22
OI000000303,O002588,P000874,4,1778.8,356.41,6758.79
OI000000304,O002804,P000478,8,459.93,55.08,3624.36
OI000000305,O002457,P000231,8,1513.28,29.21,12077.03
OI000000306,O001832,P000859,1,1721.38,164.98,1556.4
OI000000307,O001072,P000550,4,110.91,17.01,426.63
OI000000308,O002381,P000369,9,1463.28,236.71,12932.810000000001
OI000000309,O002855,P000592,8,371.17,66.33,2903.03
OI000000310,O002600,P000712,3,27.1,4.46,76.84000000000002
OI000000311,O001375,P000408,3,1670.62,79.2,4932.66
OI000000312,O002649,P000752,6,1858.86,134.61,11018.55
OI000000313,O002867,P000035,7,611.08,41.41,4236.150000000001
OI000000314,O000245,P000392,6,1336.87,36.24,7984.98
OI000000315,O001179,P000732,1,220.12,64.91,155.21
OI000000316,O001866,P000353,4,397.84,110.05,1481.31
OI000000317,O000340,P000060,4,1525.07,151.07,5949.21
OI000000318,O002373,P000651,3,799.02,159.81,2237.25
OI000000319,O002855,P000194,9,1736.61,104.47,15525.02
OI000000320,O001860,P000344,6,217.3,45.49,1258.3100000000002
OI000000321,O002492,P000550,4,110.91,5.12,438.52
OI000000322,O002270,P000993,1,827.63,141.34,686.29
OI000000323,O000577,P000375,7,1711.54,82.65,11898.13
OI000000324,O002016,P000084,9,398.93,28.14,3562.23
OI000000325,O001720,P000882,8,540.45,17.28,4306.320000000001
OI000000326,O001239,P000197,2,374.57,75.61,673.53
OI000000327,O000083,P000658,1,1009.91,194.12,815.79
OI000000328,O002739,P000354,3,770.78,209.74,2102.6000000000004
OI000000329,O002539,P000337,1,794.19,106.15,688.0400000000001
OI000000330,O001172,P000237,3,1622.17,170.01,4696.5
OI000000331,O002461,P000312,9,766.77,78.74,6822.1900000000005
OI000000332,O002222,P000453,4,167.58,10.84,659.48
OI000000333,O002895,P000538,4,1885.34,411.55,7129.8099999999995
OI000000334,O000867,P000406,1,139.86,2.17,137.69000000000003
OI000000335,O001975,P000312,8,766.77,90.48,6043.68
OI000000336,O001253,P000388,1,833.48,83.18,750.3
OI000000337,O000477,P000302,9,1661.73,229.6,14725.97
OI000000338,O002332,P000348,10,1313.62,298.99,12837.21
OI000000339,O002565,P000765,9,1330.0,341.51,11628.49
OI000000340,O002559,P000779,9,1324.14,39.35,11877.91
OI000000341,O000635,P000801,1,373.91,18.79,355.12
OI000000342,O000642,P000847,6,197.07,45.7,1136.72
OI000000343,O002179,P000030,1,1474.37,191.79,1282.58
OI000000344,O002984,P000051,8,805.96,5.29,6442.39
OI000000345,O000486,P000432,8,1865.88,193.17,14733.87
OI000000346,O000429,P000359,8,17.82,3.67,138.89000000000001
OI000000347,O002363,P000564,10,1904.75,263.94,18783.56
OI000000348,O002368,P000499,1,253.05,29.87,223.18
OI000000349,O002546,P000912,2,1468.14,309.54,2626.7400000000002
OI000000350,O001312,P000451,9,1164.33,191.78,10287.189999999999
OI000000351,O000774,P000631,8,1717.28,298.64,13439.6
OI000000352,O001500,P000265,1,76.77,16.58,60.19
OI000000353,O000924,P000739,2,172.97,36.53,309.40999999999997
OI000000354,O001906,P000408,5,1670.62,285.12,8067.979999999999
OI000000355,O001835,P000217,4,1403.4,254.34,5359.26
OI000000356,O001247,P000213,9,1329.61,163.49,11803.0
OI000000357,O002258,P000673,2,500.63,91.48,909.78
OI000000358,O002987,P000412,8,1511.32,410.89,11679.67
OI000000359,O002717,P000867,4,1286.29,37.04,5108.12
OI000000360,O001050,P000713,1,1793.11,402.16,1390.9499999999998
OI000000361,O002042,P000865,1,678.15,43.93,634.22
OI000000362,O000282,P000134,2,1280.87,27.39,2534.35
OI000000363,O001392,P000507,3,1029.09,12.72,3074.5499999999997
OI000000364,O002664,P000968,2,506.73,18.77,994.69
OI000000365,O002633,P000608,6,1748.7,336.8,10155.400000000001
OI000000366,O000948,P000712,3,27.1,5.88,75.42000000000002
OI000000367,O001450,P000554,10,1891.17,169.79,18741.91
OI000000368,O002994,P000056,4,1443.17,104.3,5668.38
OI000000369,O002782,P000976,9,1278.46,249.85,11256.289999999999
OI000000370,O002685,P000466,3,182.23,30.81,515.88
OI000000371,O002993,P000167,2,465.82,13.66,917.98
OI000000372,O000859,P000434,9,230.55,39.02,2035.9300000000003
OI000000373,O002439,P000696,9,1613.76,342.13,14181.710000000001
OI000000374,O001888,P000871,3,26.45,4.47,74.88
OI000000375,O001397,P000222,9,395.06,108.41,3447.13
OI000000376,O002806,P000072,10,809.43,8.6,8085.699999999999
OI000000377,O000469,P000120,6,18.57,4.68,106.74000000000001
OI000000378,O000025,P000247,6,1979.0,382.55,11491.45
OI000000379,O000276,P000254,2,972.14,70.8,1873.48
OI000000380,O001702,P000867,4,1286.29,47.63,5097.53
OI000000381,O000814,P000101,7,106.37,7.93,736.6600000000001
OI000000382,O002408,P000082,5,384.31,33.51,1888.04
OI000000383,O002331,P000692,5,1094.93,252.36,5222.290000000001
OI000000384,O000265,P000895,4,487.63,21.3,1929.22
OI000000385,O001900,P000351,2,498.38,121.39,875.37
OI000000386,O001522,P000981,3,1764.41,3.18,5290.05
OI000000387,O001461,P000449,6,595.59,7.92,3565.62
OI000000388,O001535,P000217,9,1403.4,161.67,12468.93
OI000000389,O002241,P000827,5,326.87,90.61,1543.74
OI000000390,O002742,P000770,6,1272.05,351.16,7281.139999999999
OI000000391,O002374,P000113,10,1736.82,64.66,17303.54
OI000000392,O002908,P000559,2,444.5,4.42,884.58
OI000000393,O001644,P000833,10,269.1,61.68,2629.32
OI000000394,O000269,P000865,3,678.15,23.21,2011.2399999999998
OI000000395,O000523,P000105,4,780.41,220.98,2900.66
OI000000396,O000060,P000878,1,1375.57,93.42,1282.1499999999999
OI000000397,O002026,P000237,9,1622.17,279.69,14319.84
OI000000398,O001392,P000112,7,1915.88,266.23,13144.93
OI000000399,O001778,P000960,3,11.21,2.12,31.51
OI000000400,O001499,P000979,9,1379.64,132.56,12284.2
OI000000401,O001665,P000538,3,1885.34,411.99,5244.03
OI000000402,O000596,P000456,8,1611.1,375.55,12513.25
OI000000403,O000886,P000234,6,1658.18,284.35,9664.73
OI000000404,O002275,P000897,10,1561.8,410.17,15207.83
OI000000405,O002064,P000874,5,1778.8,32.36,8861.64
OI000000406,O000715,P000809,3,64.16,6.81,185.67
OI000000407,O002201,P000411,4,798.36,109.6,3083.84
OI000000408,O002336,P000204,2,375.65,8.45,742.8499999999999
OI000000409,O000128,P000640,2,389.41,34.94,743.8800000000001
OI000000410,O000599,P000372,6,1047.95,173.09,6114.610000000001
OI000000411,O001606,P000203,4,372.51,54.03,1436.01
OI000000412,O002646,P000378,10,381.87,80.31,3738.39
OI000000413,O002239,P000244,3,1072.6,168.87,3048.93
OI000000414,O000374,P000562,8,578.74,121.82,4508.1
OI000000415,O000861,P000537,5,1276.32,171.66,6209.94
OI000000416,O001941,P000348,5,1313.62,249.31,6318.789999999999
OI000000417,O000318,P000190,1,560.65,128.08,432.56999999999994
OI000000418,O001418,P000342,6,942.36,48.06,5606.099999999999
OI000000419,O001479,P000998,8,1771.97,346.54,13829.22
OI000000420,O000514,P000256,8,91.68,20.78,712.6600000000001
OI000000421,O002545,P000097,6,1499.25,254.7,8740.8
OI000000422,O000634,P000997,5,1002.0,96.48,4913.52
OI000000423,O001134,P000851,7,213.39,28.68,1465.05
OI000000424,O001861,P000731,7,448.45,125.78,3013.37
OI000000425,O000876,P000173,8,1705.15,191.42,13449.78
OI000000426,O001892,P000559,6,444.5,56.81,2610.19
OI000000427,O000155,P000353,3,397.84,8.19,1185.33
OI000000428,O002098,P000811,2,106.61,0.88,212.34
OI000000429,O001601,P000258,3,907.59,117.3,2605.47
OI000000430,O002390,P000498,9,1597.19,315.8,14058.910000000002
OI000000431,O001341,P000838,10,1035.16,85.59,10266.01
OI000000432,O002672,P000487,3,1467.14,43.62,4357.8
OI000000433,O000116,P000750,6,765.43,136.71,4455.87
OI000000434,O002959,P000349,1,245.34,72.14,173.2
OI000000435,O001448,P000449,6,595.59,171.33,3402.21
OI000000436,O002732,P000547,8,122.18,8.14,969.3000000000001
OI000000437,O001281,P000856,10,791.93,221.94,7697.36
OI000000438,O002828,P000431,3,1519.75,270.37,4288.88
OI000000439,O001721,P000380,6,1674.15,121.11,9923.79
OI000000440,O001738,P000765,10,1330.0,156.4,13143.6
OI000000441,O002151,P000170,6,808.52,136.83,4714.29
OI000000442,O001326,P000672,10,574.61,130.85,5615.25
OI000000443,O000690,P000538,3,1885.34,393.87,5262.15
OI000000444,O002936,P000216,5,1516.37,307.6,7274.249999999999
OI000000445,O000359,P000409,1,256.31,45.29,211.02
OI000000446,O000634,P000815,1,15.61,3.36,12.25
OI000000447,O001445,P000157,7,1411.2,209.77,9668.63
OI000000448,O000490,P000001,3,708.94,175.85,1950.9700000000003
OI000000449,O002818,P000912,9,1468.14,256.91,12956.35
OI000000450,O001937,P000634,3,1987.65,111.04,5851.910000000001
OI000000451,O001040,P000581,8,498.49,81.8,3906.12
OI000000452,O002994,P000665,3,1713.81,64.22,5077.21
OI000000453,O001607,P000716,6,223.06,4.51,1333.8500000000001
OI000000454,O001977,P000450,9,793.14,109.12,7029.14
OI000000455,O001873,P000644,8,189.11,17.95,1494.93
OI000000456,O002585,P000587,2,896.13,47.71,1744.55
OI000000457,O000300,P000500,1,1471.06,104.5,1366.56
OI000000458,O001870,P000175,8,524.31,129.1,4065.3799999999997
OI000000459,O001465,P000930,5,1105.71,244.15,5284.400000000001
OI000000460,O001490,P000679,2,1280.62,331.04,2230.2
OI000000461,O002973,P000371,8,438.52,115.03,3393.1299999999997
