order_id,customer_id,order_timestamp,status,shipping_city,shipping_method,coupon_code
O000049,C000992,2026-06-04 06:38:54.159993,returned,Ho Chi Minh City,express,
O000050,C000204,2026-06-06 23:41:28.159993,completed,Ho Chi Minh City,standard,
O000051,C000220,2026-06-06 16:21:46.159993,completed,Ho Chi Minh City,standard,
O000052,C000302,2026-05-27 19:35:40.159993,completed,Ho Chi Minh City,express,
O000053,C000839,2026-05-14 07:37:42.159993,completed,Ho Chi Minh City,standard,
O000054,C000978,2026-05-19 03:11:03.159993,completed,Ho Chi Minh City,express,
O000055,C000969,2026-06-17 13:02:25.159993,completed,Ho Chi Minh City,express,
O000056,C000277,2026-05-07 14:38:46.159993,completed,Ho Chi Minh City,express,
O000057,C000715,2026-06-17 14:14:00.159993,completed,Ho Chi Minh City,standard,
O000058,C000684,2026-06-16 14:17:49.159993,completed,Ho Chi Minh City,standard,
O000059,C000318,2026-05-18 11:52:38.159993,completed,Ho Chi Minh City,same_day,
O000060,C000768,2026-03-28 09:41:48.159993,completed,Ho Chi Minh City,same_day,
O000061,C000656,2026-05-11 13:41:04.159993,completed,Ho Chi Minh City,same_day,
O000062,C000289,2026-05-30 06:35:25.159993,completed,Hanoi,standard,
O000063,C000345,2026-06-07 07:46:12.159993,completed,Ho Chi Minh City,standard,
O000064,C000147,2026-04-18 15:04:15.159993,returned,Ho Chi Minh City,standard,SAVEUPTO20
O000065,C000400,2026-03-07 13:50:33.159993,completed,Hanoi,,
O000066,C000773,2026-01-05 09:07:41.159993,completed,Ho Chi Minh City,,
O000067,C000587,2026-05-21 07:37:47.159993,cancelled,Ho Chi Minh City,same_day,
O000068,C000454,2026-05-08 00:00:46.159993,cancelled,Ho Chi Minh City,express,
O000069,C000835,2026-06-17 16:54:58.159993,completed,Ho Chi Minh City,standard,
O000070,C000288,2026-06-07 10:58:42.159993,completed,Ho Chi Minh City,standard,
O000071,C000188,2026-06-15 10:42:10.159993,pending,Ho Chi Minh City,standard,
O000072,C000212,2026-06-14 15:05:39.159993,completed,Ho Chi Minh City,express,SAVEUPTO20
O000073,C000438,2026-06-20 15:02:18.159993,completed,Ho Chi Minh City,standard,
O000074,C000984,2026-05-22 09:32:11.159993,completed,Ho Chi Minh City,standard,
O000075,C000554,2026-05-06 19:42:54.159993,completed,Ho Chi Minh City,standard,
O000076,C000647,2026-05-17 18:38:27.159993,completed,Ho Chi Minh City,standard,
O000077,C000843,2026-06-15 16:33:08.159993,completed,Ho Chi Minh City,standard,
O000078,C000524,2026-06-14 05:12:33.159993,completed,Ho Chi Minh City,express,
O000079,C000573,2026-06-20 16:04:33.159993,returned,Hanoi,express,
O000080,C000115,2026-04-06 08:08:07.159993,completed,Ho Chi Minh City,standard,
O000081,C000295,2026-05-04 07:38:38.159993,completed,Ho Chi Minh City,express,
O000082,C000913,2026-03-31 21:33:48.159993,cancelled,Ho Chi Minh City,express,
O000083,C000741,2026-06-21 09:46:58.159993,completed,Ho Chi Minh City,standard,
O000084,C000333,2026-03-26 21:09:23.159993,returned,Ho Chi Minh City,standard,SAVEUPTO20
O000085,C000600,2026-05-02 19:20:19.159993,returned,Ho Chi Minh City,standard,
O000086,C000791,2026-04-15 12:08:46.159993,completed,Can Tho,standard,
O000087,C000054,2026-05-05 02:41:17.159993,completed,Ho Chi Minh City,standard,
O000088,C000906,2026-06-14 15:06:51.159993,cancelled,Ho Chi Minh City,express,SAVEUPTO20
O000089,C000273,2026-03-14 23:34:38.159993,completed,Ho Chi Minh City,,
O000090,C000206,2026-03-02 16:04:43.159993,cancelled,Ho Chi Minh City,,
O000091,C000903,2026-04-04 02:17:06.159993,completed,Ho Chi Minh City,same_day,
O000092,C000978,2026-06-15 11:53:24.159993,completed,Ho Chi Minh City,express,
O000093,C000167,2026-04-08 07:11:40.159993,completed,Ho Chi Minh City,standard,
O000094,C000895,2026-05-11 15:00:47.159993,completed,Ho Chi Minh City,express,
O000095,C000549,2026-04-05 08:37:45.159993,completed,Hanoi,standard,
O000096,C000567,2026-06-19 18:24:35.159993,completed,Ho Chi Minh City,standard,SAVEUPTO20
O000097,C000472,2026-06-12 00:10:40.159993,cancelled,Ho Chi Minh City,same_day,SAVEUPTO20
O000098,C000725,2026-05-18 23:35:20.159993,completed,Ho Chi Minh City,express,
O000099,C000593,2026-05-09 22:04:03.159993,completed,Can Tho,standard,
O000100,C000278,2026-05-25 06:09:03.159993,pending,Da Nang,express,SAVEUPTO20
O000101,C000131,2026-04-11 06:20:54.159993,completed,Ho Chi Minh City,standard,SAVEUPTO20
O000102,C000724,2026-02-27 17:52:14.159993,returned,Da Nang,,
O000103,C000364,2026-06-09 03:18:44.159993,completed,Ho Chi Minh City,express,SAVEUPTO20
O000104,C000432,2026-05-30 07:20:15.159993,completed,Ho Chi Minh City,standard,
O000105,C000968,2026-06-20 04:55:33.159993,completed,Da Nang,standard,
O000106,C000326,2026-04-08 01:42:14.159993,completed,Bien Hoa,express,
O000107,C000091,2026-06-19 05:22:19.159993,completed,Ho Chi Minh City,standard,SAVEUPTO20
O000108,C000697,2026-06-21 05:32:11.159993,pending,Ho Chi Minh City,standard,
O000109,C000811,2026-06-20 16:38:57.159993,completed,Bien Hoa,standard,
O000110,C000384,2026-04-04 17:51:48.159993,completed,Ho Chi Minh City,standard,
O000111,C000868,2026-06-07 12:07:38.159993,completed,Ho Chi Minh City,express,SAVEUPTO20
O000112,C000705,2026-06-07 06:00:32.159993,completed,Can Tho,standard,SAVEUPTO20
O000113,C000229,2026-05-08 01:14:24.159993,completed,Ho Chi Minh City,express,
O000114,C000852,2026-05-22 05:42:06.159993,completed,Ho Chi Minh City,standard,
O000115,C000512,2026-06-16 06:21:20.159993,cancelled,Ho Chi Minh City,standard,
O000116,C000271,2026-03-01 09:27:11.159993,completed,Hanoi,,
O000117,C000675,2026-05-31 18:24:12.159993,completed,Can Tho,standard,
O000118,C000207,2026-05-22 22:59:13.159993,completed,Ho Chi Minh City,standard,
O000119,C000343,2026-05-15 07:34:20.159993,completed,Ho Chi Minh City,standard,
O000120,C000321,2026-05-18 18:55:34.159993,completed,Ho Chi Minh City,standard,
O000121,C000227,2026-05-31 05:58:14.159993,completed,Ho Chi Minh City,standard,
O000122,C000424,2026-04-20 15:33:44.159993,completed,Can Tho,standard,
O000123,C000988,2026-06-01 17:39:15.159993,completed,Ho Chi Minh City,standard,SAVEUPTO20
O000124,C000729,2026-04-23 00:31:00.159993,completed,Ho Chi Minh City,same_day,
O000125,C000659,2026-02-16 17:21:38.159993,completed,Ho Chi Minh City,,
O000126,C000438,2026-06-17 21:55:10.159993,completed,Ho Chi Minh City,standard,
O000127,C000645,2026-06-16 19:12:35.159993,completed,Ho Chi Minh City,same_day,
O000128,C000694,2026-06-19 16:20:39.159993,pending,Ho Chi Minh City,standard,
O000129,C000181,2026-06-21 01:24:04.159993,completed,Ho Chi Minh City,standard,
O000130,C000996,2026-06-18 09:53:52.159993,completed,Ho Chi Minh City,express,
O000131,C000156,2026-04-25 20:41:27.159993,completed,Ho Chi Minh City,standard,
O000132,C000234,2026-06-15 23:38:43.159993,completed,Ho Chi Minh City,standard,SAVEUPTO20
O000133,C000383,2026-06-15 19:55:06.159993,completed,Bien Hoa,standard,
O000134,C000759,2026-05-05 17:18:23.159993,completed,Ho Chi Minh City,standard,SAVEUPTO20
O000135,C000157,2026-06-17 07:57:49.159993,completed,Ho Chi Minh City,standard,
O000136,C000477,2026-06-18 23:41:20.159993,completed,Ho Chi Minh City,express,
O000137,C000924,2026-05-31 14:11:03.159993,returned,Ho Chi Minh City,standard,
O000138,C000419,2026-03-16 15:22:32.159993,completed,Ho Chi Minh City,,
O000139,C000885,2026-06-18 11:34:18.159993,completed,Ho Chi Minh City,standard,
O000140,C000602,2026-05-26 21:06:50.159993,pending,Can Tho,standard,SAVEUPTO20
O000141,C000809,2026-06-08 02:11:50.159993,completed,Hanoi,same_day,
O000142,C000119,2026-02-19 04:51:06.159993,completed,Da Nang,,
O000143,C000396,2026-06-04 03:08:46.159993,completed,Ho Chi Minh City,standard,
O000144,C000316,2026-05-23 04:56:54.159993,completed,Ho Chi Minh City,standard,
O000145,C000415,2026-01-16 01:10:06.159993,completed,Ho Chi Minh City,,
O000146,C000274,2026-06-16 11:28:11.159993,completed,Ho Chi Minh City,same_day,
O000147,C000390,2026-05-12 18:38:00.159993,completed,Hanoi,express,
O000148,C000611,2026-05-26 09:01:11.159993,completed,Bien Hoa,standard,
O000149,C000469,2026-06-14 05:30:33.159993,cancelled,Ho Chi Minh City,standard,
O000150,C000225,2026-06-15 08:30:39.159993,completed,Can Tho,same_day,
O000151,C000249,2026-05-26 06:10:12.159993,returned,Ho Chi Minh City,express,
O000152,C000048,2026-06-19 16:35:11.159993,completed,Da Nang,same_day,
O000153,C000002,2026-05-16 00:30:46.159993,completed,Ho Chi Minh City,standard,
O000154,C000041,2026-04-25 12:54:09.159993,completed,Ho Chi Minh City,standard,
O000155,C000272,2026-03-06 11:47:08.159993,completed,Da Nang,,
O000156,C000775,2026-05-28 12:32:27.159993,cancelled,Ho Chi Minh City,standard,SAVEUPTO20
O000157,C000965,2026-06-16 00:54:45.159993,cancelled,Ho Chi Minh City,express,SAVEUPTO20
O000158,C000684,2026-06-15 05:24:32.159993,completed,Ho Chi Minh City,standard,
O000159,C000198,2026-06-17 03:54:44.159993,completed,Ho Chi Minh City,express,
O000160,C000850,2026-04-12 12:50:22.159993,completed,Can Tho,standard,
O000161,C000152,2026-03-25 09:37:51.159993,completed,Ho Chi Minh City,standard,
O000162,C000678,2026-01-31 04:55:11.159993,pending,Ho Chi Minh City,,
O000163,C000101,2026-05-30 17:28:23.159993,completed,Ho Chi Minh City,standard,SAVEUPTO20
O000164,C000053,2026-03-26 22:38:47.159993,completed,Bien Hoa,express,SAVEUPTO20
O000165,C000339,2026-02-16 20:33:32.159993,completed,Ho Chi Minh City,,
O000166,C000702,2026-05-19 19:51:40.159993,completed,Ho Chi Minh City,standard,
O000167,C000606,2026-04-06 02:50:42.159993,completed,Ho Chi Minh City,standard,
O000168,C000547,2026-06-14 03:59:25.159993,completed,Ho Chi Minh City,standard,
O000169,C000157,2026-05-25 01:54:30.159993,completed,Ho Chi Minh City,standard,
O000170,C000962,2026-03-12 18:11:12.159993,completed,Ho Chi Minh City,,
O000171,C000858,2026-02-10 02:26:49.159993,completed,Ho Chi Minh City,,
O000172,C000230,2026-04-21 09:13:44.159993,completed,Ho Chi Minh City,standard,
O000173,C000809,2026-03-31 11:19:35.159993,cancelled,Ho Chi Minh City,same_day,SAVEUPTO20
O000174,C000078,2026-05-07 10:12:33.159993,completed,Ho Chi Minh City,express,
O000175,C000199,2026-02-24 06:23:53.159993,returned,Ho Chi Minh City,,
O000176,C000833,2026-06-01 02:53:02.159993,pending,Ho Chi Minh City,standard,SAVEUPTO20
O000177,C000765,2026-05-22 19:56:25.159993,completed,Ho Chi Minh City,standard,
O000178,C000423,2026-06-20 11:48:17.159993,completed,Ho Chi Minh City,standard,SAVEUPTO20
O000179,C000347,2026-06-20 03:04:23.159993,completed,Ho Chi Minh City,standard,
O000180,C000470,2026-06-20 22:37:19.159993,cancelled,Ho Chi Minh City,standard,
O000181,C000793,2026-05-24 13:35:48.159993,completed,Ho Chi Minh City,standard,
O000182,C000717,2026-04-13 19:17:53.159993,completed,Ho Chi Minh City,standard,
O000183,C000564,2026-05-03 11:35:01.159993,completed,Ho Chi Minh City,standard,
O000184,C000183,2026-06-09 01:00:03.159993,returned,Ho Chi Minh City,standard,
O000185,C000081,2026-06-15 00:12:33.159993,completed,Ho Chi Minh City,standard,SAVEUPTO20
O000186,C000452,2026-06-13 18:06:52.159993,completed,Ho Chi Minh City,express,
O000187,C000539,2026-05-09 10:26:02.159993,pending,Ho Chi Minh City,express,SAVEUPTO20
O000188,C000803,2026-05-15 04:18:39.159993,completed,Hanoi,express,
O000189,C000554,2026-04-09 18:45:36.159993,completed,Ho Chi Minh City,standard,
O000190,C000595,2026-04-25 06:22:08.159993,completed,Ho Chi Minh City,standard,
O000191,C000220,2026-06-20 16:29:41.159993,completed,Ho Chi Minh City,standard,
O000192,C000904,2026-06-17 04:28:40.159993,completed,Ho Chi Minh City,standard,
O000193,C000332,2026-05-23 10:51:31.159993,completed,Ho Chi Minh City,standard,SAVEUPTO20
O000194,C000866,2026-06-20 11:26:33.159993,cancelled,Ho Chi Minh City,express,
O000195,C000685,2026-04-17 16:47:49.159993,completed,Bien Hoa,express,
O000196,C000274,2026-06-17 01:35:25.159993,completed,Ho Chi Minh City,express,
O000197,C000502,2026-06-09 06:18:26.159993,completed,Ho Chi Minh City,express,
O000198,C000796,2026-03-11 09:40:15.159993,completed,Ho Chi Minh City,,
O000199,C000123,2026-05-16 02:06:22.159993,completed,Ho Chi Minh City,standard,
O000200,C000637,2026-05-18 21:58:50.159993,completed,Ho Chi Minh City,standard,SAVEUPTO20
O000201,C000282,2026-03-21 05:17:02.159993,completed,Ho Chi Minh City,,
O000202,C000122,2026-05-06 05:28:35.159993,returned,Ho Chi Minh City,express,
O000203,C000479,2026-06-11 04:58:14.159993,completed,Da Nang,standard,
O000204,C000264,2026-06-08 11:11:54.159993,completed,Ho Chi Minh City,express,
O000205,C000127,2026-01-12 20:11:01.159993,completed,Hanoi,,
O000206,C000754,2026-06-14 17:48:29.159993,completed,Ho Chi Minh City,express,
O000207,C000707,2025-12-25 00:47:17.159993,returned,Ho Chi Minh City,,
O000208,C000846,2026-03-11 06:45:39.159993,completed,Ho Chi Minh City,,
O000209,C000665,2026-05-24 02:07:43.159993,pending,Ho Chi Minh City,standard,
O000210,C000156,2026-04-28 05:23:27.159993,completed,Bien Hoa,standard,
O000211,C000738,2026-06-21 14:34:42.159993,completed,Ho Chi Minh City,same_day,SAVEUPTO20
O000212,C000705,2026-03-29 19:29:39.159993,completed,Ho Chi Minh City,same_day,
O000213,C000381,2026-06-04 03:59:39.159993,completed,Ho Chi Minh City,standard,SAVEUPTO20
O000214,C000326,2026-04-27 19:41:52.159993,completed,Can Tho,standard,
O000215,C000911,2026-06-08 11:57:23.159993,pending,Ho Chi Minh City,express,
O000216,C000184,2026-06-13 02:56:23.159993,completed,Ho Chi Minh City,express,SAVEUPTO20
O000217,C000125,2026-05-30 13:44:35.159993,cancelled,Ho Chi Minh City,standard,
O000218,C000099,2026-06-12 19:02:43.159993,completed,Ho Chi Minh City,standard,
O000219,C000973,2026-06-20 08:49:23.159993,completed,Ho Chi Minh City,express,
O000220,C000099,2026-06-20 23:31:42.159993,completed,Ho Chi Minh City,standard,
O000221,C000327,2026-06-05 05:46:09.159993,completed,Ho Chi Minh City,standard,
O000222,C000463,2026-06-17 02:45:01.159993,completed,Ho Chi Minh City,standard,SAVEUPTO20
O000223,C000803,2026-05-31 12:46:21.159993,completed,Ho Chi Minh City,express,
O000224,C000117,2026-02-08 04:34:13.159993,completed,Ho Chi Minh City,,
O000225,C000355,2026-06-20 08:42:55.159993,completed,Ho Chi Minh City,express,
O000226,C000607,2026-05-27 15:59:29.159993,completed,Can Tho,standard,
O000227,C000645,2026-05-31 22:15:56.159993,completed,Ho Chi Minh City,standard,
O000228,C000826,2026-04-24 11:29:44.159993,cancelled,Can Tho,standard,
O000229,C000060,2026-06-11 11:48:35.159993,completed,Ho Chi Minh City,standard,
O000230,C000423,2026-05-15 22:11:02.159993,completed,Ho Chi Minh City,standard,
O000231,C000886,2026-05-28 09:08:01.159993,completed,Can Tho,standard,
O000232,C000620,2026-03-13 18:31:33.159993,completed,Ho Chi Minh City,,
O000233,C000922,2026-04-09 06:12:43.159993,completed,Can Tho,standard,
O000234,C000837,2026-06-02 17:24:55.159993,completed,Ho Chi Minh City,same_day,
O000235,C000965,2026-06-14 00:57:13.159993,completed,Ho Chi Minh City,standard,
O000236,C000825,2026-05-13 02:25:31.159993,completed,Bien Hoa,standard,
O000237,C000501,2026-04-08 15:47:48.159993,completed,Ho Chi Minh City,standard,
O000238,C000314,2026-04-27 07:35:44.159993,returned,Hanoi,standard,SAVEUPTO20
O000239,C000383,2026-06-18 07:02:05.159993,cancelled,Ho Chi Minh City,standard,SAVEUPTO20
O000240,C000566,2026-05-31 07:24:22.159993,completed,Ho Chi Minh City,standard,
O000241,C000826,2026-03-12 22:18:04.159993,cancelled,Da Nang,,
O000242,C000476,2026-06-16 21:34:58.159993,pending,Hanoi,standard,
O000243,C000515,2026-06-16 11:35:01.159993,completed,Ho Chi Minh City,standard,
O000244,C000120,2026-02-28 22:51:31.159993,completed,Ho Chi Minh City,,
O000245,C000648,2026-06-03 06:01:47.159993,completed,Bien Hoa,standard,SAVEUPTO20
O000246,C000200,2026-06-20 21:31:14.159993,completed,Ho Chi Minh City,standard,
O000247,C000471,2026-06-12 20:14:31.159993,completed,Ho Chi Minh City,standard,
O000248,C000085,2026-06-02 11:01:08.159993,completed,Ho Chi Minh City,standard,
O000249,C000568,2026-04-19 23:08:55.159993,completed,Ho Chi Minh City,standard,SAVEUPTO20
O000250,C000223,2026-05-10 07:13:50.159993,completed,Ho Chi Minh City,standard,
O000251,C000700,2026-02-17 05:47:10.159993,pending,Ho Chi Minh City,,
O000252,C000958,2026-05-26 05:56:09.159993,completed,Bien Hoa,standard,
O000253,C000042,2026-06-04 17:31:56.159993,cancelled,Ho Chi Minh City,express,
O000254,C000907,2026-05-10 14:05:58.159993,completed,Ho Chi Minh City,standard,SAVEUPTO20
O000255,C000294,2026-06-01 20:22:20.159993,completed,Ho Chi Minh City,express,
O000256,C000824,2026-06-03 08:07:29.159993,completed,Can Tho,standard,
O000257,C000764,2026-06-19 08:30:46.159993,completed,Ho Chi Minh City,standard,
O000258,C000847,2026-04-21 19:45:24.159993,completed,Ho Chi Minh City,standard,
O000259,C000661,2026-04-29 02:57:08.159993,cancelled,Ho Chi Minh City,standard,
O000260,C000920,2026-06-03 08:56:26.159993,completed,Ho Chi Minh City,standard,
O000261,C000015,2026-06-13 04:59:24.159993,completed,Ho Chi Minh City,standard,
O000262,C000189,2026-03-18 01:35:33.159993,completed,Can Tho,,
O000263,C000088,2026-03-18 08:58:51.159993,completed,Ho Chi Minh City,,
O000264,C000581,2026-06-08 10:51:48.159993,completed,Ho Chi Minh City,standard,
O000265,C000062,2026-06-09 12:18:48.159993,completed,Ho Chi Minh City,same_day,
O000266,C000377,2026-05-22 07:19:30.159993,completed,Ho Chi Minh City,standard,
O000267,C000320,2026-05-13 23:05:52.159993,pending,Hanoi,standard,
O000268,C000193,2026-05-16 12:17:01.159993,completed,Ho Chi Minh City,express,
O000269,C000727,2026-06-13 20:20:28.159993,pending,Hanoi,standard,
O000270,C000137,2026-05-10 15:57:43.159993,completed,Ho Chi Minh City,standard,
O000271,C000509,2026-03-20 20:57:12.159993,completed,Ho Chi Minh City,,
O000272,C000869,2026-04-19 00:41:23.159993,returned,Ho Chi Minh City,standard,SAVEUPTO20
O000273,C000993,2026-02-13 22:21:37.159993,cancelled,Ho Chi Minh City,,
O000274,C000639,2026-06-19 23:48:50.159993,completed,Ho Chi Minh City,standard,
O000275,C000949,2026-06-19 17:41:37.159993,completed,Ho Chi Minh City,standard,
O000276,C000709,2026-03-25 02:40:19.159993,cancelled,Ho Chi Minh City,standard,
O000277,C000800,2026-05-15 16:59:43.159993,completed,Ho Chi Minh City,express,SAVEUPTO20
O000278,C000892,2026-05-04 08:19:51.159993,completed,Ho Chi Minh City,standard,
O000279,C000653,2026-02-12 09:40:26.159993,completed,Ho Chi Minh City,,
O000280,C000189,2026-02-19 09:41:22.159993,completed,Da Nang,,
O000281,C000764,2026-06-20 11:30:46.159993,completed,Ho Chi Minh City,standard,
O000282,C000993,2026-05-27 18:54:00.159993,cancelled,Ho Chi Minh City,standard,SAVEUPTO20
O000283,C000454,2026-05-30 05:28:45.159993,completed,Hanoi,standard,
O000284,C000492,2026-06-07 12:59:21.159993,completed,Bien Hoa,express,SAVEUPTO20
O000285,C000493,2026-06-02 23:32:03.159993,completed,Ho Chi Minh City,standard,
O000286,C000345,2026-06-10 18:38:31.159993,completed,Ho Chi Minh City,standard,
O000287,C000234,2026-05-29 21:43:03.159993,completed,Ho Chi Minh City,standard,
O000288,C000938,2026-06-08 07:45:06.159993,completed,Ho Chi Minh City,express,
O000289,C000399,2026-05-04 07:02:42.159993,cancelled,Ho Chi Minh City,express,
O000290,C000261,2026-05-20 15:47:06.159993,completed,Ho Chi Minh City,standard,
O000291,C000604,2026-04-13 16:53:20.159993,pending,Ho Chi Minh City,standard,
O000292,C000860,2026-06-04 17:04:02.159993,completed,Ho Chi Minh City,standard,
O000293,C000292,2026-03-05 13:13:58.159993,completed,Ho Chi Minh City,,
O000294,C000163,2026-03-25 08:02:14.159993,completed,Ho Chi Minh City,standard,
O000295,C000715,2026-06-17 03:47:24.159993,completed,Ho Chi Minh City,express,SAVEUPTO20
O000296,C000601,2026-05-09 04:25:32.159993,completed,Ho Chi Minh City,express,
O000297,C000355,2026-06-21 09:05:52.159993,completed,Ho Chi Minh City,express,
O000298,C000621,2026-06-11 00:01:04.159993,completed,Can Tho,standard,
O000299,C000899,2026-04-27 19:44:55.159993,completed,Hanoi,standard,SAVEUPTO20
O000300,C000333,2026-03-08 22:27:58.159993,completed,Ho Chi Minh City,,
O000301,C000362,2026-06-16 04:34:26.159993,completed,Ho Chi Minh City,standard,
O000302,C000612,2026-03-24 11:25:37.159993,returned,Ho Chi Minh City,express,
O000303,C000470,2026-06-14 13:10:45.159993,completed,Ho Chi Minh City,standard,
O000304,C000941,2026-04-30 17:59:41.159993,completed,Ho Chi Minh City,standard,
O000305,C000161,2026-06-20 23:36:38.159993,completed,Ho Chi Minh City,standard,
O000306,C000374,2026-03-18 17:14:55.159993,completed,Ho Chi Minh City,,
O000307,C000710,2026-04-06 03:42:30.159993,completed,Ho Chi Minh City,standard,
O000308,C000120,2026-04-30 00:28:52.159993,completed,Ho Chi Minh City,standard,
O000309,C000755,2026-04-03 12:22:59.159993,completed,Ho Chi Minh City,standard,
O000310,C000458,2026-05-26 13:02:13.159993,completed,Ho Chi Minh City,same_day,
O000311,C000415,2026-05-05 15:50:20.159993,completed,Ho Chi Minh City,standard,
O000312,C000103,2026-06-12 06:40:11.159993,completed,Ho Chi Minh City,standard,
O000313,C000216,2026-05-21 21:23:26.159993,completed,Ho Chi Minh City,standard,SAVEUPTO20
O000314,C000659,2026-04-13 11:54:36.159993,pending,Ho Chi Minh City,standard,
O000315,C000021,2026-06-15 10:08:24.159993,cancelled,Da Nang,standard,
O000316,C000740,2026-06-15 20:45:01.159993,completed,Can Tho,express,
O000317,C000540,2026-01-28 22:31:45.159993,completed,Ho Chi Minh City,,
O000318,C000036,2026-03-13 19:45:45.159993,completed,Ho Chi Minh City,,
O000319,C000804,2026-06-09 05:34:36.159993,completed,Ho Chi Minh City,express,
O000320,C000831,2026-05-10 20:29:47.159993,cancelled,Ho Chi Minh City,standard,
O000321,C000266,2026-05-02 02:19:18.159993,cancelled,Ho Chi Minh City,standard,
O000322,C000686,2026-05-18 18:23:40.159993,completed,Ho Chi Minh City,standard,
O000323,C000036,2026-04-11 07:08:06.159993,completed,Ho Chi Minh City,standard,
O000324,C000446,2026-05-12 04:18:40.159993,completed,Ho Chi Minh City,express,
O000325,C000537,2026-05-26 05:52:43.159993,cancelled,Ho Chi Minh City,standard,SAVEUPTO20
O000326,C000006,2026-05-27 17:51:19.159993,completed,Ho Chi Minh City,standard,SAVEUPTO20
O000327,C000598,2026-05-28 19:29:55.159993,completed,Ho Chi Minh City,same_day,
O000328,C000179,2026-06-19 12:54:58.159993,completed,Ho Chi Minh City,express,SAVEUPTO20
O000329,C000068,2026-03-30 15:40:17.159993,completed,Ho Chi Minh City,express,
